iter	Passed	Remaining
0	17	17586
1	31	15907
2	47	15787
3	61	15273
4	75	14925
5	88	14679
6	101	14330
7	114	14203
8	128	14149
9	141	14042
10	156	14039
11	171	14124
12	186	14124
13	202	14239
14	217	14302
15	237	14618
16	254	14738
17	271	14830
18	286	14800
19	302	14820
20	315	14707
21	329	14637
22	343	14609
23	357	14542
24	370	14458
25	384	14410
26	398	14359
27	412	14304
28	427	14322
29	445	14395
30	465	14542
31	479	14518
32	493	14448
33	507	14414
34	521	14380
35	536	14362
36	552	14370
37	570	14453
38	585	14432
39	600	14409
40	618	14460
41	633	14452
42	648	14429
43	664	14431
44	679	14412
45	692	14356
46	706	14322
47	719	14263
48	732	14217
49	747	14195
50	760	14150
51	776	14148
52	791	14135
53	818	14330
54	848	14575
55	870	14679
56	884	14636
57	898	14588
58	911	14532
59	923	14469
60	936	14422
61	952	14403
62	965	14357
63	980	14333
64	994	14304
65	1010	14295
66	1024	14265
67	1038	14235
68	1056	14252
69	1074	14278
70	1092	14292
71	1106	14255
72	1121	14243
73	1137	14235
74	1151	14200
75	1165	14168
76	1180	14152
77	1196	14140
78	1210	14116
79	1224	14081
80	1236	14024
81	1249	13984
82	1263	13958
83	1277	13925
84	1292	13915
85	1308	13907
86	1321	13869
87	1334	13834
88	1347	13788
89	1361	13762
90	1374	13727
91	1387	13698
92	1401	13665
93	1414	13635
94	1428	13608
95	1442	13579
96	1456	13556
97	1471	13546
98	1486	13530
99	1500	13502
100	1514	13480
101	1527	13449
102	1541	13424
103	1554	13394
104	1567	13359
105	1584	13360
106	1597	13334
107	1611	13310
108	1626	13294
109	1641	13281
110	1653	13241
111	1666	13216
112	1684	13220
113	1703	13242
114	1719	13232
115	1737	13239
116	1758	13273
117	1777	13285
118	1794	13288
119	1813	13296
120	1830	13300
121	1848	13302
122	1864	13297
123	1880	13286
124	1900	13302
125	1917	13297
126	1933	13289
127	1948	13276
128	1965	13267
129	1982	13268
130	2003	13288
131	2017	13263
132	2030	13236
133	2044	13212
134	2059	13196
135	2075	13183
136	2089	13163
137	2103	13140
138	2119	13125
139	2132	13102
140	2146	13079
141	2160	13052
142	2173	13027
143	2187	13004
144	2201	12980
145	2214	12955
146	2228	12930
147	2241	12906
148	2254	12878
149	2268	12853
150	2281	12826
151	2293	12795
152	2305	12765
153	2320	12748
154	2335	12730
155	2347	12698
156	2359	12668
157	2371	12637
158	2384	12613
159	2397	12584
160	2410	12559
161	2424	12539
162	2436	12509
163	2450	12492
164	2465	12474
165	2478	12452
166	2491	12427
167	2503	12400
168	2519	12389
169	2533	12371
170	2548	12353
171	2561	12332
172	2574	12308
173	2587	12282
174	2599	12255
175	2613	12233
176	2625	12208
177	2637	12181
178	2653	12169
179	2666	12147
180	2679	12125
181	2693	12103
182	2706	12083
183	2721	12068
184	2734	12046
185	2749	12034
186	2762	12010
187	2774	11984
188	2788	11964
189	2801	11944
190	2814	11919
191	2827	11901
192	2841	11882
193	2854	11860
194	2868	11840
195	2880	11816
196	2894	11797
197	2908	11779
198	2922	11762
199	2938	11755
200	2952	11735
201	2965	11715
202	2977	11690
203	2990	11667
204	3003	11646
205	3017	11629
206	3030	11607
207	3043	11587
208	3056	11568
209	3070	11551
210	3084	11532
211	3097	11512
212	3109	11490
213	3123	11472
214	3135	11449
215	3150	11434
216	3163	11413
217	3176	11394
218	3189	11374
219	3202	11355
220	3216	11337
221	3229	11319
222	3243	11300
223	3257	11284
224	3269	11263
225	3283	11243
226	3296	11226
227	3309	11206
228	3322	11186
229	3335	11168
230	3349	11151
231	3364	11138
232	3378	11120
233	3391	11101
234	3404	11081
235	3417	11064
236	3431	11046
237	3443	11026
238	3458	11011
239	3470	10991
240	3483	10969
241	3496	10951
242	3509	10932
243	3522	10915
244	3535	10896
245	3550	10880
246	3564	10866
247	3578	10850
248	3592	10835
249	3605	10817
250	3619	10800
251	3632	10782
252	3645	10763
253	3659	10748
254	3673	10731
255	3686	10715
256	3700	10697
257	3714	10681
258	3728	10666
259	3742	10651
260	3759	10645
261	3772	10627
262	3785	10609
263	3798	10589
264	3811	10572
265	3826	10558
266	3840	10542
267	3853	10524
268	3867	10508
269	3881	10494
270	3893	10474
271	3907	10458
272	3921	10441
273	3934	10423
274	3946	10404
275	3961	10391
276	3977	10381
277	3994	10374
278	4009	10360
279	4022	10344
280	4035	10326
281	4048	10307
282	4061	10290
283	4077	10280
284	4092	10266
285	4106	10251
286	4119	10234
287	4133	10217
288	4146	10200
289	4160	10184
290	4173	10168
291	4187	10152
292	4200	10136
293	4213	10118
294	4226	10100
295	4239	10083
296	4253	10068
297	4267	10053
298	4280	10036
299	4293	10019
300	4306	10000
301	4318	9981
302	4331	9963
303	4344	9946
304	4357	9928
305	4371	9913
306	4384	9896
307	4396	9878
308	4411	9865
309	4424	9848
310	4437	9831
311	4450	9814
312	4463	9797
313	4477	9781
314	4490	9764
315	4502	9746
316	4515	9729
317	4528	9711
318	4541	9694
319	4554	9677
320	4567	9660
321	4580	9643
322	4593	9627
323	4608	9614
324	4621	9597
325	4633	9580
326	4646	9563
327	4661	9551
328	4674	9534
329	4687	9516
330	4699	9499
331	4713	9483
332	4728	9471
333	4741	9454
334	4754	9437
335	4767	9422
336	4780	9405
337	4794	9389
338	4807	9374
339	4821	9358
340	4833	9341
341	4846	9325
342	4859	9307
343	4871	9290
344	4885	9274
345	4898	9258
346	4912	9243
347	4925	9227
348	4938	9212
349	4951	9196
350	4964	9179
351	4977	9163
352	4991	9147
353	5004	9131
354	5018	9118
355	5031	9101
356	5044	9086
357	5057	9069
358	5070	9053
359	5083	9037
360	5096	9021
361	5109	9004
362	5122	8988
363	5134	8972
364	5147	8955
365	5160	8938
366	5172	8921
367	5185	8905
368	5198	8889
369	5211	8873
370	5225	8859
371	5238	8844
372	5252	8828
373	5265	8812
374	5278	8798
375	5292	8784
376	5305	8767
377	5318	8752
378	5331	8736
379	5345	8721
380	5359	8706
381	5371	8690
382	5384	8674
383	5397	8659
384	5410	8642
385	5424	8628
386	5437	8612
387	5450	8596
388	5463	8581
389	5476	8565
390	5489	8549
391	5502	8534
392	5516	8519
393	5528	8503
394	5540	8486
395	5553	8470
396	5566	8455
397	5581	8441
398	5594	8426
399	5607	8411
400	5623	8399
401	5635	8383
402	5649	8368
403	5661	8352
404	5674	8336
405	5688	8323
406	5702	8309
407	5714	8292
408	5728	8277
409	5742	8264
410	5757	8251
411	5772	8238
412	5786	8224
413	5801	8211
414	5816	8199
415	5833	8188
416	5848	8175
417	5862	8162
418	5878	8151
419	5891	8136
420	5904	8120
421	5917	8105
422	5931	8090
423	5943	8073
424	5955	8057
425	5971	8046
426	5990	8038
427	6002	8022
428	6016	8007
429	6030	7994
430	6045	7980
431	6059	7966
432	6072	7951
433	6086	7937
434	6100	7923
435	6113	7908
436	6127	7894
437	6140	7879
438	6154	7864
439	6167	7849
440	6179	7832
441	6191	7816
442	6205	7802
443	6223	7792
444	6251	7796
445	6274	7793
446	6293	7786
447	6310	7775
448	6325	7762
449	6338	7747
450	6353	7733
451	6366	7719
452	6380	7704
453	6395	7690
454	6410	7678
455	6423	7663
456	6437	7648
457	6452	7636
458	6469	7625
459	6485	7613
460	6502	7602
461	6515	7587
