iter	Passed	Remaining
0	15	15714
1	29	14915
2	42	14145
3	55	13881
4	66	13175
5	76	12595
6	86	12281
7	96	11977
8	107	11870
9	118	11702
10	128	11510
11	137	11343
12	149	11312
13	160	11299
14	171	11286
15	182	11212
16	192	11126
17	203	11079
18	213	10999
19	224	10977
20	236	11002
21	249	11071
22	259	11005
23	269	10957
24	279	10913
25	290	10891
26	300	10842
27	310	10778
28	321	10766
29	332	10746
30	343	10723
31	352	10663
32	362	10635
33	376	10693
34	386	10660
35	397	10633
36	408	10636
37	419	10632
38	430	10597
39	441	10595
40	452	10576
41	462	10539
42	472	10506
43	483	10497
44	492	10461
45	502	10416
46	512	10393
47	522	10355
48	532	10329
49	544	10336
50	553	10291
51	563	10279
52	573	10248
53	583	10217
54	592	10188
55	602	10161
56	612	10133
57	622	10110
58	632	10085
59	642	10065
60	657	10126
61	668	10113
62	678	10097
63	689	10077
64	699	10059
65	707	10017
66	717	9984
67	726	9953
68	736	9940
69	748	9944
70	760	9955
71	769	9921
72	779	9903
73	789	9880
74	799	9862
75	810	9849
76	821	9843
77	832	9837
78	842	9821
79	853	9819
80	864	9813
81	877	9822
82	888	9817
83	898	9799
84	908	9779
85	918	9757
86	926	9727
87	937	9715
88	947	9703
89	957	9684
90	969	9685
91	979	9670
92	989	9653
93	1000	9640
94	1010	9624
95	1020	9614
96	1031	9602
97	1041	9590
98	1051	9572
99	1062	9562
100	1073	9554
101	1085	9553
102	1096	9547
103	1108	9552
104	1117	9528
105	1127	9509
106	1138	9498
107	1147	9477
108	1158	9472
109	1169	9462
110	1181	9459
111	1191	9444
112	1202	9435
113	1212	9425
114	1222	9404
115	1233	9400
116	1244	9390
117	1253	9372
118	1265	9370
119	1277	9366
120	1289	9369
121	1311	9437
122	1323	9435
123	1333	9419
124	1342	9400
125	1353	9386
126	1362	9364
127	1372	9347
128	1382	9337
129	1393	9325
130	1402	9306
131	1413	9297
132	1424	9287
133	1434	9271
134	1444	9257
135	1455	9245
136	1465	9233
137	1475	9216
138	1485	9202
139	1496	9191
140	1507	9183
141	1518	9173
142	1527	9157
143	1538	9146
144	1548	9130
145	1558	9115
146	1569	9104
147	1580	9099
148	1590	9086
149	1601	9075
150	1611	9063
151	1622	9051
152	1632	9035
153	1642	9022
154	1652	9007
155	1662	8996
156	1673	8984
157	1682	8968
158	1693	8957
159	1704	8950
160	1715	8939
161	1725	8924
162	1735	8914
163	1746	8903
164	1756	8890
165	1767	8878
166	1778	8871
167	1788	8857
168	1798	8844
169	1810	8839
170	1820	8824
171	1829	8808
172	1841	8801
173	1850	8784
174	1861	8774
175	1871	8762
176	1881	8748
177	1891	8736
178	1902	8727
179	1913	8715
180	1923	8704
181	1934	8695
182	1944	8682
183	1954	8667
184	1964	8653
185	1974	8641
186	1984	8628
187	1995	8618
188	2006	8607
189	2017	8599
190	2026	8581
191	2035	8565
192	2045	8552
193	2055	8538
194	2065	8525
195	2076	8516
196	2086	8506
197	2097	8496
198	2109	8489
199	2120	8482
200	2133	8479
201	2143	8469
202	2154	8457
203	2164	8447
204	2175	8435
205	2185	8423
206	2196	8415
207	2207	8405
208	2218	8396
209	2228	8384
210	2238	8371
211	2249	8360
212	2260	8351
213	2271	8341
214	2281	8328
215	2292	8322
216	2303	8310
217	2313	8298
218	2325	8294
219	2336	8284
220	2348	8277
221	2358	8266
222	2369	8257
223	2380	8247
224	2393	8244
225	2404	8234
226	2414	8221
227	2423	8207
228	2434	8196
229	2445	8185
230	2457	8180
231	2467	8168
232	2478	8159
233	2489	8149
234	2499	8137
235	2509	8125
236	2521	8116
237	2532	8109
238	2544	8102
239	2555	8092
240	2565	8079
241	2575	8066
242	2585	8053
243	2595	8041
244	2606	8031
245	2616	8018
246	2625	8005
247	2636	7995
248	2647	7984
249	2657	7971
250	2667	7959
251	2677	7946
252	2688	7936
253	2699	7927
254	2709	7914
255	2720	7905
256	2731	7896
257	2742	7886
258	2753	7878
259	2764	7867
260	2774	7855
261	2785	7846
262	2798	7842
263	2808	7829
264	2818	7816
265	2828	7804
266	2838	7793
267	2850	7784
268	2860	7774
269	2870	7762
270	2881	7751
271	2892	7741
272	2903	7730
273	2914	7721
274	2924	7710
275	2936	7704
276	2947	7692
277	2957	7680
278	2967	7668
279	2977	7656
280	2989	7648
281	3001	7642
282	3011	7630
283	3021	7618
284	3031	7606
285	3041	7594
286	3053	7585
287	3065	7578
288	3076	7568
289	3087	7557
290	3097	7546
291	3107	7534
292	3118	7524
293	3130	7517
294	3141	7508
295	3153	7500
296	3165	7492
297	3175	7480
298	3186	7469
299	3196	7459
300	3206	7446
301	3216	7433
302	3226	7422
303	3237	7411
304	3247	7399
305	3257	7387
306	3267	7376
307	3277	7363
308	3288	7353
309	3299	7343
310	3309	7332
311	3321	7324
312	3331	7311
313	3342	7302
314	3359	7305
315	3384	7325
316	3398	7323
317	3415	7325
318	3426	7315
319	3437	7305
320	3447	7293
321	3457	7280
322	3468	7269
323	3479	7259
324	3490	7249
325	3500	7238
326	3511	7226
327	3521	7214
328	3530	7200
329	3540	7189
330	3552	7181
331	3563	7170
332	3575	7161
333	3586	7151
334	3597	7140
335	3607	7128
336	3617	7117
337	3628	7106
338	3638	7094
339	3649	7084
340	3660	7073
341	3671	7063
342	3681	7052
343	3691	7039
344	3702	7028
345	3713	7018
346	3722	7006
347	3733	6994
348	3743	6983
349	3753	6971
350	3764	6959
351	3775	6949
352	3786	6940
353	3797	6930
354	3809	6920
355	3818	6907
356	3828	6895
357	3838	6883
358	3848	6871
359	3859	6861
360	3870	6851
361	3880	6839
362	3891	6829
363	3903	6820
364	3913	6809
365	3924	6797
366	3934	6786
367	3945	6776
368	3957	6767
369	3968	6756
370	3980	6747
371	3992	6739
372	4003	6729
373	4013	6717
374	4023	6705
375	4033	6693
376	4042	6681
377	4054	6671
378	4063	6658
379	4073	6646
380	4083	6635
381	4095	6625
382	4107	6616
383	4117	6604
384	4126	6591
385	4137	6581
386	4147	6569
387	4157	6558
388	4168	6547
389	4178	6535
390	4190	6526
391	4202	6518
392	4213	6507
393	4223	6495
394	4233	6483
395	4243	6472
396	4253	6461
397	4264	6449
398	4273	6436
399	4283	6425
400	4293	6413
401	4304	6403
402	4314	6391
403	4324	6379
404	4336	6370
405	4347	6360
406	4360	6353
407	4372	6344
408	4382	6333
409	4392	6320
410	4404	6311
411	4415	6302
412	4426	6291
413	4436	6280
414	4448	6270
415	4458	6259
416	4469	6249
417	4479	6236
418	4490	6226
419	4500	6215
420	4511	6204
421	4520	6191
422	4530	6179
423	4540	6168
424	4550	6156
425	4561	6146
426	4571	6135
427	4581	6123
428	4593	6113
429	4604	6103
430	4614	6092
431	4625	6081
432	4634	6069
433	4646	6059
434	4657	6049
435	4668	6038
436	4677	6026
437	4687	6014
438	4700	6006
439	4711	5995
440	4721	5984
441	4732	5974
442	4743	5964
443	4755	5955
444	4769	5948
445	4784	5943
446	4801	5940
447	4818	5937
448	4836	5934
449	4852	5931
450	4869	5927
451	4885	5923
452	4904	5922
453	4919	5916
454	4932	5908
455	4947	5902
456	4964	5898
457	4977	5890
458	4988	5879
459	5002	5871
460	5014	5862
461	5025	5851
462	5036	5841
463	5047	5830
464	5058	5820
465	5068	5808
466	5079	5797
467	5089	5785
468	5099	5773
469	5109	5762
470	5121	5752
471	5131	5740
472	5141	5728
473	5152	5717
474	5163	5706
475	5172	5694
476	5182	5682
477	5192	5670
478	5202	5658
479	5212	5646
480	5223	5635
481	5234	5625
482	5245	5614
483	5255	5602
484	5265	5591
485	5277	5581
486	5286	5569
487	5297	5558
488	5307	5546
489	5318	5535
490	5330	5525
491	5341	5514
492	5351	5503
493	5361	5491
494	5372	5481
495	5382	5468
496	5391	5456
497	5401	5444
498	5411	5433
499	5422	5422
500	5434	5413
501	5445	5401
502	5456	5391
503	5468	5381
504	5477	5369
505	5488	5358
506	5499	5347
507	5511	5338
508	5522	5327
509	5532	5315
510	5547	5309
511	5561	5301
512	5575	5292
513	5591	5286
514	5605	5278
515	5621	5272
516	5635	5264
517	5650	5257
518	5663	5249
519	5676	5239
520	5690	5231
521	5705	5224
522	5721	5217
523	5733	5208
524	5749	5202
525	5763	5194
526	5779	5187
527	5792	5177
528	5803	5167
529	5814	5156
530	5825	5144
531	5834	5132
532	5846	5122
533	5860	5113
534	5871	5103
535	5883	5092
536	5892	5080
537	5903	5069
538	5913	5057
539	5924	5046
540	5936	5036
541	5948	5026
542	5958	5014
543	5969	5003
544	5980	4992
545	5989	4980
546	6001	4969
547	6011	4958
548	6022	4947
549	6034	4937
550	6047	4927
551	6060	4919
552	6077	4912
553	6092	4904
554	6109	4898
555	6122	4888
556	6135	4880
557	6149	4871
558	6165	4863
559	6176	4853
560	6190	4844
561	6204	4835
562	6218	4826
563	6230	4816
564	6243	4807
565	6257	4798
566	6271	4789
567	6286	4781
568	6300	4772
569	6313	4762
570	6329	4755
571	6344	4747
572	6357	4737
573	6371	4728
574	6384	4718
575	6397	4708
576	6410	4699
577	6426	4692
578	6442	4684
579	6457	4675
580	6471	4666
581	6486	4658
582	6500	4649
583	6515	4641
584	6530	4632
585	6543	4622
586	6556	4612
587	6568	4602
588	6580	4591
589	6593	4581
590	6605	4571
591	6617	4561
592	6630	4550
593	6643	4540
594	6657	4531
595	6669	4521
596	6684	4512
597	6701	4504
598	6716	4496
599	6731	4487
600	6745	4478
601	6758	4468
602	6771	4457
603	6784	4448
604	6795	4436
605	6808	4426
606	6821	4416
607	6836	4407
608	6848	4397
609	6860	4386
610	6872	4375
611	6884	4364
612	6896	4354
613	6909	4343
614	6923	4334
615	6938	4325
616	6952	4315
617	6965	4305
618	6978	4295
619	6990	4284
620	7004	4275
621	7017	4264
622	7031	4254
623	7043	4244
624	7055	4233
625	7067	4222
626	7080	4212
627	7094	4202
628	7106	4191
629	7116	4179
630	7129	4169
631	7142	4158
632	7156	4148
633	7168	4138
634	7180	4127
635	7195	4117
636	7205	4106
637	7217	4095
638	7229	4084
639	7240	4072
640	7251	4061
641	7262	4050
642	7273	4038
643	7285	4027
644	7295	4015
645	7307	4004
646	7319	3993
647	7330	3982
648	7341	3970
649	7353	3959
650	7364	3948
651	7375	3936
652	7388	3925
653	7399	3914
654	7410	3903
655	7421	3891
656	7433	3880
657	7445	3869
658	7465	3862
659	7479	3853
660	7492	3842
661	7506	3832
662	7517	3821
663	7532	3811
664	7546	3801
665	7559	3791
666	7570	3779
667	7582	3768
668	7598	3759
669	7611	3749
670	7626	3739
671	7639	3729
672	7653	3718
673	7666	3708
674	7678	3696
