iter	Logloss
0	0.6783258727
1	0.6653568554
2	0.6534000981
3	0.6418791094
4	0.6317432477
5	0.6224812833
6	0.6133877112
7	0.605103188
8	0.5974257889
9	0.5903608777
10	0.5838927419
11	0.5780066913
12	0.5726146648
13	0.56746557
14	0.5627533723
15	0.5583541405
16	0.5544361492
17	0.5510370687
18	0.5476335002
19	0.5447489143
20	0.5419771728
21	0.5393379306
22	0.5368165205
23	0.5347339342
24	0.5327423291
25	0.53077574
26	0.5289404413
27	0.5272250622
28	0.5256315755
29	0.524197456
30	0.5228752851
31	0.5216078207
32	0.5204225281
33	0.5192092218
34	0.5181528392
35	0.5173428341
36	0.5164189681
37	0.51571284
38	0.5149537999
39	0.5142201491
40	0.5134556275
41	0.5128267293
42	0.5122344592
43	0.5117489488
44	0.5112980422
45	0.5107218491
46	0.5102084716
47	0.5097995136
48	0.5093471339
49	0.5089660518
50	0.5085616882
51	0.5081260489
52	0.5077924689
53	0.5074616972
54	0.5071348363
55	0.5068318227
56	0.5064257391
57	0.5061131292
58	0.5058107301
59	0.5054689895
60	0.5051674863
61	0.5049276356
62	0.5046558402
63	0.5043851618
64	0.5041706112
65	0.5039115105
66	0.5037119603
67	0.5034497842
68	0.5032421366
69	0.5031963344
70	0.5029462413
71	0.502718844
72	0.5024991306
73	0.5022665188
74	0.5020249596
75	0.5018250764
76	0.5016724052
77	0.5014890872
78	0.5013170914
79	0.5010955288
80	0.5009382605
81	0.5007327176
82	0.5005297562
83	0.5003525487
84	0.5002411687
85	0.5000601938
86	0.4999099174
87	0.4997504037
88	0.4995995099
89	0.4994865794
90	0.4993107128
91	0.4991581651
92	0.4989984704
93	0.4988545686
94	0.4986211671
95	0.4984967997
96	0.4983242381
97	0.4981760234
98	0.4980393892
99	0.4978614695
100	0.4977814571
101	0.497653618
102	0.4975378362
103	0.4974435326
104	0.4973250889
105	0.4972230899
106	0.4971104953
107	0.4969841179
108	0.4968053712
109	0.4967275784
110	0.4965530183
111	0.4964122004
112	0.4963086594
113	0.4961704115
114	0.4960410018
115	0.4958732556
116	0.4957650285
117	0.4956417464
118	0.4954846877
119	0.4953527368
120	0.4952607878
121	0.495126735
122	0.4950557791
123	0.4949190013
124	0.4948632524
125	0.4947680587
126	0.4946919859
127	0.4945435845
128	0.4943753445
129	0.4942268397
130	0.4941275772
131	0.4940033734
132	0.4939116168
133	0.4938108296
134	0.4936480222
135	0.4935104835
136	0.4933878303
137	0.4932817711
138	0.4931516235
139	0.493067413
140	0.4929467238
141	0.492854146
142	0.4927337842
143	0.492652425
144	0.4925991111
145	0.4924213954
146	0.4923296933
147	0.4922038155
148	0.4920539956
149	0.4919029411
150	0.4917913573
151	0.4916661628
152	0.4915408851
153	0.4913823218
154	0.4912575839
155	0.4911527221
156	0.4909950317
157	0.4909055923
158	0.4907477239
159	0.4906382161
160	0.4904853755
161	0.4903393
162	0.4902251347
163	0.4901318792
164	0.4900045772
165	0.4898861306
166	0.4897779408
167	0.4896584203
168	0.4894840785
169	0.4893345056
170	0.4892203317
171	0.4890988615
172	0.4889663047
173	0.488876986
174	0.4887281166
175	0.4885895786
176	0.488477745
177	0.4883656328
178	0.4882471919
179	0.4881009212
180	0.4879567638
181	0.4877902007
182	0.4877059414
183	0.4876299116
184	0.4875279614
185	0.4873878298
186	0.4872685247
187	0.4871990274
188	0.4870953343
189	0.4869816284
190	0.4868709204
191	0.486763256
192	0.4866298809
193	0.4864931175
194	0.4863834862
195	0.4862186718
196	0.486042765
197	0.4859572623
198	0.4858424998
199	0.4857396911
200	0.4856111888
201	0.4855637269
202	0.4854793958
203	0.4853097114
204	0.4851769622
205	0.4850650683
206	0.4849559079
207	0.4847955614
208	0.4847177915
209	0.4845959596
210	0.4844983337
211	0.4843576278
212	0.4842315031
213	0.4841173493
214	0.4839873883
215	0.4838677845
216	0.4837433424
217	0.4836260243
218	0.4834881956
219	0.4832920567
220	0.4831689412
221	0.4830342251
222	0.4829076753
223	0.4828161829
224	0.4827213625
225	0.4826183901
226	0.4824823416
227	0.4823481826
228	0.4822103194
229	0.4821107956
230	0.4820036825
231	0.4818689147
232	0.4818000923
233	0.4816470507
234	0.4815162598
235	0.4813871373
236	0.4812949241
237	0.4811306696
238	0.4810400501
239	0.4808928174
240	0.4807959611
241	0.4807525652
242	0.4806314252
243	0.4805094985
244	0.4804491525
245	0.4803230736
246	0.4802107547
247	0.4800713094
248	0.4798876899
249	0.4797560434
250	0.4796463776
251	0.4795115553
252	0.4794226012
253	0.4793263882
254	0.4792088949
255	0.4790656018
256	0.4788884316
257	0.4787397718
258	0.4786029682
259	0.4785109388
260	0.4783895577
261	0.4782652074
262	0.4781356197
263	0.4780145142
264	0.4779026001
265	0.4777789706
266	0.477714863
267	0.477584612
268	0.4774348984
269	0.4773030882
270	0.4771936149
271	0.4770554445
272	0.4769693302
273	0.4768343614
274	0.4767062496
275	0.4765754415
276	0.4764318958
277	0.4763157291
278	0.4761850646
279	0.4760701356
280	0.476001784
281	0.4758884256
282	0.4757372792
283	0.4755856159
284	0.4754633475
285	0.4753353017
286	0.4752167862
287	0.4750602759
288	0.4749197452
289	0.4747836767
290	0.4746514903
291	0.4745849736
292	0.4744607755
293	0.47431986
294	0.4742123364
295	0.4740458249
296	0.4739271802
297	0.4737921684
298	0.4736631492
299	0.4735270088
300	0.473403276
301	0.473237893
302	0.4730961333
303	0.4729674328
304	0.4728211649
305	0.4727351885
306	0.4726293016
307	0.4725017095
308	0.4723051543
309	0.4721607844
310	0.472033112
311	0.4720039037
312	0.4718848599
313	0.4717631658
314	0.4716338795
315	0.4715118064
316	0.4713783594
317	0.4712310579
318	0.4710602967
319	0.4709659271
320	0.4708403651
321	0.4706854743
322	0.4705170533
323	0.4703632652
324	0.4702582282
325	0.4701352247
326	0.4700270492
327	0.4698726897
328	0.4697802841
329	0.4697011589
330	0.4695667443
331	0.4694652995
332	0.4694210795
333	0.4692626827
334	0.4691110854
335	0.4689955677
336	0.4689008593
337	0.4687728509
338	0.4686365756
339	0.4685008545
340	0.4683466586
341	0.4682085599
342	0.4680918736
343	0.4679517362
344	0.4677821753
345	0.4676491102
346	0.4674529857
347	0.4672520745
348	0.4670674414
349	0.4670220929
350	0.4668746563
351	0.4667193779
352	0.4665980599
353	0.4664398555
354	0.4663160997
355	0.4661775933
356	0.4660309148
357	0.46592804
358	0.4657658644
359	0.4656285698
360	0.4654604072
361	0.4653347448
362	0.4652308851
363	0.4650556416
364	0.4649539785
365	0.4648612973
366	0.4648335047
367	0.4646471402
368	0.4645062333
369	0.4643539325
370	0.4642296914
371	0.4640606416
372	0.4638831211
373	0.4638517277
374	0.463706841
375	0.4635330878
376	0.4633787713
377	0.4632497722
378	0.463068605
379	0.4629705628
380	0.4627797935
381	0.4626500852
382	0.462514232
383	0.4623671974
384	0.4622093778
385	0.4620736653
386	0.4619788104
387	0.4618448409
388	0.461679702
389	0.4614985921
390	0.4613072198
391	0.4611034802
392	0.4609890278
393	0.4608381312
394	0.4606792865
395	0.4605044938
396	0.4604085392
397	0.4602762351
398	0.4601395865
399	0.4600055509
400	0.4598030346
401	0.4597010586
402	0.459556927
403	0.4594508334
404	0.4593298341
405	0.4591756497
406	0.4590565054
407	0.4589113717
408	0.4588060648
409	0.4586490865
410	0.4585295143
411	0.4583365541
412	0.4582343311
413	0.4580580023
414	0.4578784861
415	0.4577191618
416	0.4576172202
417	0.4575167718
418	0.4573889012
419	0.4573072894
420	0.4572267457
421	0.4571379926
422	0.4570043648
423	0.4568510274
424	0.4567177643
425	0.4566044605
426	0.4564971436
427	0.456311896
428	0.4561528761
429	0.4561056698
430	0.4559743161
431	0.4558654515
432	0.45574859
433	0.4555709087
434	0.4555556872
435	0.4553958576
436	0.4552632548
437	0.4550903142
438	0.454973938
439	0.4548536767
440	0.4547132407
441	0.4546128353
442	0.454507649
443	0.4543965993
444	0.4542624172
445	0.4541904218
446	0.4540630394
447	0.4539717192
448	0.4538324146
449	0.4536949534
450	0.453511957
451	0.4533451067
452	0.4532389011
453	0.4531460505
454	0.4530424837
455	0.4529199223
456	0.4527656173
457	0.4526082657
458	0.4524577137
459	0.4523274483
460	0.4521687787
461	0.4520097818
462	0.4518941291
463	0.4517350949
464	0.4516162951
465	0.4515350996
466	0.4514001825
467	0.4513236417
468	0.4512014077
469	0.451138308
470	0.4509097793
471	0.4507854434
472	0.4506881794
473	0.4505330273
474	0.4504330154
475	0.4502724334
476	0.4501181772
477	0.4500153484
478	0.4498654769
479	0.4497056271
480	0.449571738
481	0.4494376565
482	0.4493079367
483	0.4491851657
484	0.4490617315
485	0.4489124515
486	0.4487908004
487	0.4486853643
488	0.4485881003
489	0.4484268579
490	0.4483170228
491	0.4481375841
492	0.4480450292
493	0.4478905692
494	0.4478635232
495	0.4476799841
496	0.4475180124
497	0.4473825497
498	0.4472627938
499	0.4471225502
500	0.4469908519
501	0.4468171274
502	0.4467011905
503	0.4465756773
504	0.4464859221
505	0.4463625281
506	0.4462588235
507	0.446139056
508	0.4459801969
509	0.4458687165
510	0.4457458881
511	0.4456342727
512	0.4454843696
513	0.4453914672
514	0.4452781921
515	0.4452413746
516	0.445127821
517	0.4449960251
518	0.4448852998
519	0.4447601112
520	0.4446330417
521	0.4444927292
522	0.4443539442
523	0.4441910077
524	0.4440391319
525	0.4439143223
526	0.4437970932
527	0.4436463229
528	0.4434611012
529	0.4432989457
530	0.443234238
531	0.4431682611
532	0.4430481405
533	0.4429616214
534	0.4428362432
535	0.4426779699
536	0.4424998032
537	0.442368194
538	0.442196603
539	0.4420947734
540	0.4419719221
541	0.441841918
542	0.4417003794
543	0.4415652182
544	0.4414039902
545	0.4412927825
546	0.441133217
547	0.4410374433
548	0.4409343589
549	0.4408012077
550	0.4407122651
551	0.4405449841
552	0.4403917042
553	0.4403285786
554	0.4402232775
555	0.4401269467
556	0.4400510576
557	0.4399571187
558	0.4398270371
559	0.4397197231
560	0.4395820494
561	0.4394801337
562	0.4393239163
563	0.4392409434
564	0.4391532642
565	0.4390497807
566	0.4389147832
567	0.438755525
568	0.4386247399
569	0.4385627112
570	0.4384297553
571	0.4383142204
572	0.4381878888
573	0.4380427896
574	0.4378903137
575	0.4377745778
576	0.4376150755
577	0.4374821024
578	0.4373500969
579	0.4372192285
580	0.4371446
581	0.4370538398
582	0.4369109659
583	0.4368465856
584	0.4367244291
585	0.4366010121
586	0.4364669823
587	0.4363665482
588	0.4362770313
589	0.4361350706
590	0.4360353659
591	0.4359127299
592	0.4358192131
593	0.4356894674
594	0.4355549495
595	0.435383993
596	0.4352284447
597	0.4350947824
598	0.4349840514
599	0.4348423232
600	0.4347638212
601	0.4346544828
602	0.4344896798
603	0.4343944229
604	0.4342740898
605	0.4341487576
606	0.4339466375
607	0.4338688791
608	0.4337040819
609	0.433547652
610	0.4333994546
611	0.4332938404
612	0.4331246815
613	0.4329467446
614	0.4328884
615	0.4327482569
616	0.4326329861
617	0.4325008802
618	0.4323578111
619	0.4322564323
620	0.4321266062
621	0.4320037549
622	0.4319085784
623	0.4317735867
624	0.4316406853
625	0.431557207
626	0.4314339077
627	0.4312618487
628	0.4311411882
629	0.4310338943
630	0.4309136962
631	0.4308338962
632	0.4307098102
633	0.430561696
634	0.4304321771
635	0.4303181698
636	0.4301615188
637	0.4300464606
638	0.4299061308
639	0.4298129586
640	0.4296679542
641	0.4295883638
642	0.4294730471
643	0.4293471406
644	0.4291910524
645	0.4290668055
646	0.4289482154
647	0.4288324421
648	0.4286582037
649	0.4285785473
650	0.4284791641
651	0.4283610363
652	0.4282215278
653	0.4281176882
654	0.4279414971
655	0.4277980059
656	0.4276643925
657	0.4275703071
658	0.4274356858
659	0.4273447016
660	0.4272341802
661	0.4270861607
662	0.4270237818
663	0.4269506837
664	0.4268432893
665	0.4267274902
666	0.426589403
667	0.4264950133
668	0.4263513068
669	0.4263075174
670	0.4262065091
671	0.4260762925
672	0.4259714508
673	0.4258856639
674	0.4257726271
675	0.4256834404
676	0.4255742054
677	0.4254720628
678	0.4253602177
679	0.4252558469
680	0.4251153046
681	0.4250522423
682	0.4249050125
683	0.4248346308
684	0.4247009168
685	0.4245485529
686	0.4244074565
687	0.4242479657
688	0.4241213987
689	0.4240267994
690	0.423926931
691	0.4238028851
692	0.4236687577
693	0.4235893453
694	0.4234744163
695	0.423374746
696	0.4232517712
697	0.4231169689
698	0.4229358448
699	0.4228122067
700	0.4226631305
701	0.4225436445
702	0.4224138271
703	0.422331328
704	0.4221908776
705	0.4220801839
706	0.4220314902
707	0.4219173019
708	0.4217912891
709	0.421727931
710	0.4215900822
711	0.4214616832
712	0.4213500965
713	0.4212033032
714	0.4210812788
715	0.4209603025
716	0.4208388409
717	0.4207813778
718	0.4206793128
719	0.4206157307
720	0.4205055222
721	0.4203600153
722	0.4202200273
723	0.4200883721
