iter	Passed	Remaining
0	9	9448
1	17	8887
2	26	8701
3	33	8415
4	41	8257
5	48	8039
6	56	7947
7	64	7977
8	70	7800
9	78	7724
10	84	7627
11	91	7572
12	99	7535
13	106	7477
14	114	7507
15	121	7455
16	128	7416
17	136	7442
18	143	7407
19	150	7369
20	157	7348
21	164	7305
22	170	7260
23	177	7202
24	184	7193
25	191	7182
26	199	7189
27	206	7167
28	214	7194
29	222	7195
30	230	7190
31	237	7170
32	243	7135
33	249	7099
34	256	7061
35	263	7048
36	270	7053
37	277	7017
38	283	6983
39	289	6958
40	295	6919
41	302	6893
42	308	6863
43	315	6844
44	321	6830
45	328	6811
46	335	6808
47	342	6792
48	348	6771
49	355	6752
50	361	6732
51	368	6717
52	374	6698
53	381	6683
54	388	6668
55	394	6648
56	401	6646
57	409	6652
58	417	6664
59	426	6679
60	434	6684
61	440	6669
62	448	6665
63	454	6653
64	463	6664
65	469	6650
66	476	6638
67	483	6625
68	490	6612
69	493	6553
70	499	6533
71	505	6520
72	512	6514
73	521	6520
74	528	6512
75	535	6507
76	542	6498
77	549	6492
78	556	6484
79	563	6480
80	570	6478
81	577	6465
82	584	6458
83	591	6444
84	597	6430
85	603	6418
86	610	6406
87	620	6432
88	629	6446
89	637	6440
90	645	6446
91	651	6431
92	658	6423
93	664	6404
94	670	6389
95	677	6375
96	683	6364
97	689	6350
98	696	6338
99	702	6324
100	708	6310
101	715	6298
102	722	6295
103	729	6284
104	736	6280
105	743	6267
106	749	6256
107	756	6246
108	762	6235
109	769	6226
110	776	6215
111	783	6212
112	790	6204
113	797	6198
114	803	6186
115	810	6175
116	819	6184
117	826	6178
118	833	6172
119	841	6170
120	848	6162
121	854	6147
122	860	6134
123	866	6122
124	872	6107
125	878	6093
126	884	6082
127	891	6074
128	898	6063
129	904	6053
130	911	6044
131	917	6034
132	924	6028
133	931	6022
134	938	6013
135	944	6003
136	952	5998
137	958	5989
138	966	5986
139	973	5982
140	981	5979
141	987	5968
142	994	5960
143	1000	5950
144	1006	5937
145	1017	5951
146	1025	5947
147	1033	5947
148	1040	5943
149	1047	5936
150	1054	5929
151	1061	5920
152	1067	5910
153	1074	5900
154	1080	5892
155	1087	5883
156	1094	5874
157	1100	5866
158	1107	5857
159	1114	5848
160	1121	5844
161	1128	5837
162	1135	5831
163	1142	5822
164	1148	5813
165	1155	5804
166	1161	5794
167	1168	5784
168	1175	5778
169	1181	5770
170	1189	5766
171	1196	5757
172	1202	5749
173	1209	5740
174	1215	5731
175	1222	5722
176	1229	5715
177	1236	5710
178	1244	5706
179	1251	5701
180	1258	5694
181	1264	5684
182	1270	5672
183	1277	5666
184	1284	5660
185	1291	5651
186	1297	5642
187	1304	5633
188	1311	5625
189	1317	5617
190	1324	5608
191	1330	5600
192	1337	5593
193	1344	5584
194	1350	5575
195	1356	5565
196	1362	5555
197	1368	5545
198	1375	5534
199	1381	5525
200	1387	5514
201	1393	5505
202	1399	5496
203	1406	5486
204	1412	5478
205	1419	5471
206	1426	5465
207	1434	5462
208	1442	5460
209	1450	5455
210	1456	5447
211	1463	5440
212	1469	5431
213	1475	5421
214	1482	5411
215	1488	5403
216	1494	5393
217	1501	5385
218	1508	5379
219	1515	5373
220	1522	5366
221	1529	5359
222	1536	5354
223	1542	5344
224	1549	5337
225	1555	5327
226	1561	5317
227	1568	5311
228	1575	5304
229	1582	5296
230	1588	5287
231	1595	5280
232	1601	5272
233	1608	5264
234	1614	5257
235	1621	5248
236	1628	5243
237	1635	5237
238	1642	5230
239	1649	5222
240	1655	5214
241	1661	5205
242	1669	5201
243	1677	5196
244	1683	5188
245	1690	5180
246	1696	5173
247	1703	5166
248	1710	5158
249	1716	5150
250	1723	5143
251	1730	5135
252	1737	5130
253	1744	5124
254	1751	5118
255	1758	5109
256	1764	5102
257	1771	5094
258	1777	5085
259	1784	5077
260	1790	5069
261	1797	5062
262	1804	5055
263	1810	5047
264	1816	5037
265	1822	5030
266	1829	5021
267	1836	5017
268	1843	5008
269	1849	5001
270	1856	4993
271	1863	4988
272	1869	4979
273	1875	4970
274	1882	4961
275	1888	4953
276	1894	4945
277	1901	4937
278	1907	4930
279	1914	4922
280	1920	4914
281	1927	4907
282	1933	4899
283	1940	4892
284	1947	4884
285	1954	4878
286	1960	4871
287	1967	4864
288	1974	4856
289	1980	4849
290	1986	4840
291	1992	4831
292	1998	4823
293	2005	4815
294	2011	4807
295	2017	4799
296	2024	4790
297	2031	4784
298	2037	4776
299	2043	4769
300	2051	4763
301	2058	4757
302	2064	4748
303	2071	4743
304	2078	4735
305	2084	4727
306	2090	4719
307	2097	4712
308	2103	4704
309	2110	4696
310	2116	4688
311	2122	4680
312	2129	4674
313	2135	4665
314	2141	4657
315	2148	4649
316	2154	4641
317	2160	4633
318	2166	4625
319	2172	4617
320	2179	4611
321	2186	4603
322	2192	4595
323	2198	4587
324	2205	4580
325	2211	4572
326	2218	4566
327	2224	4558
328	2231	4550
329	2237	4542
330	2243	4534
331	2249	4525
332	2255	4518
333	2261	4509
334	2267	4501
335	2275	4495
336	2281	4489
337	2287	4480
338	2294	4473
339	2301	4467
340	2307	4459
341	2314	4452
342	2320	4445
343	2327	4438
344	2333	4430
345	2340	4424
346	2346	4416
347	2353	4409
348	2359	4401
349	2365	4392
350	2371	4384
351	2377	4376
352	2383	4368
353	2389	4360
354	2395	4352
355	2402	4345
356	2408	4337
357	2414	4330
358	2421	4324
359	2428	4316
360	2434	4308
361	2440	4300
362	2446	4292
363	2452	4285
364	2459	4279
365	2477	4291
366	2484	4284
367	2490	4277
368	2497	4270
369	2503	4262
370	2510	4256
371	2517	4249
372	2523	4241
373	2529	4234
374	2535	4226
375	2542	4218
376	2547	4210
377	2553	4202
378	2560	4195
379	2566	4187
380	2573	4180
381	2579	4173
382	2586	4166
383	2592	4159
384	2599	4152
385	2606	4145
386	2613	4139
387	2619	4131
388	2625	4124
389	2632	4118
390	2639	4110
391	2645	4103
392	2652	4096
393	2659	4090
394	2666	4083
395	2672	4076
396	2679	4069
397	2687	4064
398	2694	4058
399	2700	4051
400	2707	4043
401	2713	4036
402	2720	4029
403	2726	4022
404	2732	4015
405	2738	4007
406	2745	3999
407	2751	3992
408	2757	3984
409	2764	3978
410	2770	3970
411	2776	3963
412	2783	3956
413	2790	3949
414	2796	3942
415	2803	3935
416	2809	3928
417	2816	3920
418	2822	3913
419	2829	3907
420	2836	3900
421	2843	3894
422	2849	3887
423	2856	3880
424	2863	3874
425	2870	3867
426	2876	3859
427	2883	3853
428	2890	3847
429	2897	3841
430	2904	3834
431	2911	3827
432	2917	3820
433	2924	3813
434	2930	3806
435	2937	3799
436	2944	3792
437	2950	3786
438	2957	3778
439	2963	3771
440	2970	3765
441	2976	3757
442	2982	3749
443	2988	3742
444	2995	3735
445	3001	3727
446	3008	3721
447	3014	3713
448	3020	3706
449	3026	3699
450	3033	3692
451	3040	3685
452	3046	3679
453	3053	3672
454	3059	3664
455	3066	3658
456	3073	3652
457	3081	3646
458	3088	3639
459	3094	3632
460	3101	3626
461	3108	3619
462	3114	3612
463	3121	3606
464	3128	3599
465	3135	3592
466	3141	3585
467	3147	3577
468	3153	3570
469	3159	3562
470	3165	3555
471	3172	3548
472	3178	3541
473	3184	3533
474	3191	3527
475	3197	3519
476	3203	3512
477	3210	3505
478	3216	3498
479	3223	3491
480	3229	3484
481	3236	3477
482	3242	3470
483	3249	3463
484	3256	3457
485	3263	3451
486	3270	3445
487	3277	3438
488	3284	3432
489	3291	3426
490	3298	3419
491	3304	3412
492	3311	3405
493	3318	3398
494	3324	3391
495	3330	3384
496	3337	3377
497	3343	3370
498	3350	3363
499	3356	3356
500	3362	3349
501	3368	3341
502	3375	3335
503	3381	3327
504	3387	3320
505	3393	3312
506	3400	3306
507	3407	3300
508	3414	3293
509	3420	3286
510	3427	3279
511	3433	3272
512	3440	3265
513	3446	3259
514	3453	3252
515	3460	3246
516	3467	3239
517	3473	3232
518	3480	3226
519	3487	3219
520	3494	3212
521	3501	3206
522	3507	3199
523	3514	3192
524	3521	3185
525	3527	3178
526	3534	3172
527	3540	3165
528	3547	3158
529	3553	3151
530	3559	3143
531	3564	3135
532	3572	3129
533	3577	3122
534	3583	3115
535	3591	3108
536	3597	3101
537	3603	3094
538	3609	3087
539	3616	3080
540	3623	3074
541	3629	3066
542	3636	3060
543	3642	3053
544	3649	3046
545	3655	3039
546	3662	3033
547	3669	3026
548	3676	3019
549	3682	3013
550	3690	3007
551	3698	3001
552	3704	2994
553	3711	2988
554	3718	2981
555	3724	2974
556	3731	2967
557	3737	2960
558	3743	2953
559	3750	2946
560	3756	2939
561	3762	2932
562	3768	2925
563	3774	2918
564	3780	2910
565	3787	2904
566	3793	2896
567	3800	2890
568	3806	2883
569	3812	2876
570	3819	2869
571	3826	2863
572	3832	2856
573	3839	2849
574	3846	2842
575	3852	2835
576	3858	2829
577	3865	2822
578	3872	2815
579	3879	2809
580	3886	2802
581	3892	2795
582	3908	2795
583	3916	2789
584	3922	2782
585	3929	2776
586	3935	2769
587	3942	2762
588	3948	2755
589	3955	2748
590	3962	2742
591	3969	2735
592	3975	2728
593	3983	2722
594	3989	2715
595	3996	2708
596	4002	2702
597	4009	2695
598	4016	2688
599	4022	2681
600	4029	2675
601	4035	2668
602	4042	2661
603	4048	2654
604	4054	2647
605	4061	2640
606	4067	2633
607	4074	2627
608	4081	2620
609	4088	2613
610	4094	2607
611	4101	2600
612	4108	2593
613	4114	2586
614	4121	2580
615	4127	2572
616	4133	2565
617	4139	2558
618	4146	2552
619	4152	2545
620	4159	2538
621	4165	2531
622	4172	2524
623	4178	2518
624	4185	2511
625	4191	2504
626	4197	2497
627	4203	2490
628	4209	2483
629	4215	2476
630	4222	2469
631	4229	2462
632	4235	2455
633	4241	2448
634	4249	2442
635	4255	2435
636	4261	2428
637	4268	2421
638	4275	2415
639	4282	2409
640	4288	2401
641	4294	2394
642	4302	2388
643	4310	2382
644	4317	2376
645	4324	2369
646	4330	2362
647	4336	2355
648	4342	2348
649	4349	2341
650	4355	2334
651	4361	2327
652	4368	2321
653	4375	2314
654	4382	2308
655	4389	2301
656	4395	2294
657	4402	2288
658	4408	2281
659	4415	2274
660	4425	2269
661	4431	2262
662	4437	2255
663	4443	2248
664	4450	2241
665	4456	2235
666	4463	2228
667	4469	2221
668	4476	2214
669	4483	2208
670	4489	2201
671	4495	2194
672	4501	2187
673	4508	2180
674	4514	2173
675	4521	2166
676	4527	2160
677	4533	2153
678	4540	2146
679	4546	2139
680	4552	2132
681	4558	2125
682	4565	2118
683	4572	2112
684	4579	2105
685	4585	2098
686	4592	2092
687	4598	2085
688	4605	2078
689	4611	2071
690	4618	2065
691	4624	2058
692	4630	2051
693	4636	2044
694	4642	2037
