iter	MultiClass
0	1.061443041
1	1.033003355
2	1.002304472
3	0.9769113979
4	0.95171729
5	0.9325014961
6	0.9133757344
7	0.8957766998
8	0.8790287858
9	0.8645038197
10	0.8506626434
11	0.8375292857
12	0.8246261999
13	0.8127418968
14	0.8019379737
15	0.792326119
16	0.7835030316
17	0.77541226
18	0.7677639378
19	0.760668704
20	0.7545246838
21	0.7473414829
22	0.7400956278
23	0.7334003109
24	0.7271904241
25	0.7203048758
26	0.7153107449
27	0.7094588606
28	0.7049803373
29	0.7012965234
30	0.6972364948
31	0.6938152918
32	0.6901105164
33	0.6862570935
34	0.6829505124
35	0.6788150669
36	0.6759059143
37	0.6729673286
38	0.6697934014
39	0.6663132496
40	0.6624977554
41	0.659127121
42	0.6547335541
43	0.6501477762
44	0.6474149871
45	0.644916747
46	0.6411493742
47	0.6382464015
48	0.6355007349
49	0.6332012753
50	0.630171375
51	0.6273799855
52	0.6252138669
53	0.622055575
54	0.6196312074
55	0.6163663421
56	0.6133392265
57	0.61063589
58	0.6089087487
59	0.6060020639
60	0.6031267188
61	0.6005796461
62	0.5975250074
63	0.5945215694
64	0.5922684879
65	0.5908292548
66	0.5890070135
67	0.5862088567
68	0.5837082092
69	0.5825863963
70	0.5808798877
71	0.5782503979
72	0.5761464469
73	0.5738716943
74	0.5721515282
75	0.5691736926
76	0.5661959506
77	0.5634493238
78	0.561307156
79	0.5597058795
80	0.5582041706
81	0.5569230071
82	0.5546270879
83	0.5531413274
84	0.5516094953
85	0.5496186231
86	0.546939618
87	0.545242031
88	0.5436775381
89	0.5414109187
90	0.5396147136
91	0.5378841942
92	0.5363993343
93	0.5340775237
94	0.5309715245
95	0.5292769907
96	0.5278068784
97	0.5260534504
98	0.5245469481
99	0.5220851395
100	0.5200567431
101	0.517686558
102	0.5156459261
103	0.514481174
104	0.5131045933
105	0.51033456
106	0.5084407055
107	0.5067888901
108	0.5043596931
109	0.5031764017
110	0.5008439287
111	0.4987244119
112	0.4977040098
113	0.4964464445
114	0.495255088
115	0.4932826576
116	0.4917404606
117	0.4900398998
118	0.4880475383
119	0.4853969577
120	0.4838514827
121	0.4817663275
122	0.4797896231
123	0.477799636
124	0.4766102077
125	0.4736207925
126	0.4727386587
127	0.4709591242
128	0.4688888452
129	0.4668177711
130	0.4652718054
131	0.4633034258
132	0.4613898753
133	0.4594697172
134	0.4580337106
135	0.4563993415
136	0.4560006139
137	0.4549157459
138	0.4535830125
139	0.4525608745
140	0.4510395149
141	0.4495667874
142	0.4473934901
143	0.445705652
144	0.4435078704
145	0.441560513
146	0.440182041
147	0.4387869968
148	0.4363900556
149	0.4348037909
150	0.4331711035
151	0.4325737145
152	0.4308330185
153	0.4296233242
154	0.428473796
155	0.4275266969
156	0.4264122502
157	0.4249049618
158	0.4236321234
159	0.421902257
160	0.4205002136
161	0.418642148
162	0.4171353973
163	0.4159594033
164	0.4146851819
165	0.4133253828
166	0.4121083657
167	0.410426838
168	0.4091056362
169	0.4072743339
170	0.4054751711
171	0.4038569471
172	0.4028211317
173	0.4020634639
174	0.4011073625
175	0.4002354707
176	0.3987037202
177	0.3976762035
178	0.3968741867
179	0.3957342506
180	0.39419594
181	0.3928335732
182	0.3916027534
183	0.3908570277
184	0.3897851877
185	0.3882958203
186	0.3869140568
187	0.3856645944
188	0.3844727074
189	0.3826346693
190	0.3815074767
191	0.380725159
192	0.3794268265
193	0.3784344729
194	0.3775821063
195	0.3763586952
196	0.3753998441
197	0.3748091605
198	0.3739238469
199	0.3733682705
200	0.3723620145
201	0.3707957989
202	0.3696939591
203	0.3684588568
204	0.3675064178
205	0.3662994998
206	0.3654130765
207	0.3646977227
208	0.3634309472
209	0.3627614856
210	0.3616782344
211	0.3603622152
212	0.3589691401
213	0.357926606
214	0.3568045849
215	0.3561062708
216	0.3548579588
217	0.3542521295
218	0.3531022198
219	0.3519042435
220	0.3510643378
221	0.3499802462
222	0.3485031225
223	0.347624636
224	0.3469053463
225	0.3458518863
226	0.3450305548
227	0.344200904
228	0.3433334631
229	0.3417978413
230	0.3407118726
231	0.3400182645
232	0.3392636
233	0.3372146959
234	0.3361323325
235	0.3353298247
236	0.3341082103
237	0.3336159652
238	0.3330442753
239	0.3322760312
240	0.3312636876
241	0.3306701632
242	0.3297966858
243	0.3290340214
244	0.3282826276
245	0.3275715431
246	0.3267978084
247	0.325682942
248	0.3248009748
249	0.3241256926
250	0.3237177211
251	0.3231622859
252	0.32285977
253	0.3222829155
254	0.321493834
255	0.3201675114
256	0.3190347093
257	0.3183364424
258	0.3174975269
259	0.3167638971
260	0.3158913624
261	0.3144725166
262	0.3136313435
263	0.3124211718
264	0.3115498557
265	0.3106000875
266	0.3097371135
267	0.3091048427
268	0.3079626062
269	0.3067949852
270	0.3063691538
271	0.3057048305
272	0.3046051663
273	0.303672854
274	0.3030051916
275	0.3025105531
276	0.3015313571
277	0.3004810203
278	0.3000951882
279	0.2996773837
280	0.2991276302
281	0.2981557784
282	0.2972397131
283	0.2963090471
284	0.2949803415
285	0.2943952731
286	0.2937948562
287	0.2924179508
288	0.2921874404
289	0.2914476114
290	0.2907300971
291	0.2898442509
292	0.2891216282
293	0.2885534562
294	0.2877438031
295	0.2869146209
296	0.2863012332
297	0.2859054846
298	0.2849088189
299	0.2838181155
300	0.2833841641
301	0.2828908773
302	0.2823504771
303	0.2817166368
304	0.280647713
305	0.2795804803
306	0.2787185849
307	0.2783640244
308	0.2774374923
309	0.2761473431
310	0.2756877464
311	0.2750028868
312	0.2739448651
313	0.2729161484
314	0.2719137471
315	0.2711358561
316	0.2705524533
317	0.2695150339
318	0.2690166792
319	0.2682804781
320	0.2679865782
321	0.26750121
322	0.2668046438
323	0.2663553807
324	0.265369632
325	0.2648058887
326	0.2643145422
327	0.2635606108
328	0.2627895996
329	0.2623260641
330	0.2616007782
331	0.2612144242
332	0.260476721
333	0.2598040408
334	0.2592231939
335	0.2585388292
336	0.2579912353
337	0.2574643912
338	0.2572010214
339	0.2566672735
340	0.2562799973
341	0.2551866021
342	0.2543742621
343	0.2537749353
344	0.2530487529
345	0.252326145
346	0.2512092016
347	0.2506925097
348	0.2502522232
349	0.2495712457
350	0.2491086231
351	0.2483768283
352	0.2476521128
353	0.2469457495
354	0.2459130061
355	0.2454288288
356	0.2450307968
357	0.2443627194
358	0.2435016558
359	0.2430562624
360	0.2424985714
361	0.2415022994
362	0.2408443531
363	0.2404326206
364	0.2399029871
365	0.2393648123
366	0.2389789081
367	0.238116904
368	0.237456688
369	0.2368192676
370	0.2365109125
371	0.2361244761
372	0.2351531195
373	0.2342446525
374	0.2335444824
375	0.2324808258
376	0.2316041368
377	0.2306614909
378	0.2305348489
379	0.2301344453
380	0.2293586159
381	0.22895135
382	0.2283298084
383	0.2278509725
384	0.2269099338
385	0.2261352451
386	0.2256116388
387	0.2252082129
388	0.2246074803
389	0.2238080179
390	0.2232953335
391	0.2229765028
392	0.2225780536
393	0.2221491863
394	0.221684593
395	0.221281912
396	0.2205190146
397	0.219675173
398	0.2187937966
399	0.2182176111
400	0.2178333962
401	0.2174062625
402	0.2170768714
403	0.2164103913
404	0.2161100483
405	0.215597789
406	0.2149572459
407	0.2142560159
408	0.213924794
409	0.2136006484
410	0.2133064378
411	0.2131189048
412	0.2127616681
413	0.2122818823
414	0.2119753401
415	0.2116141182
416	0.2112031104
417	0.2108162407
418	0.2101089945
419	0.2094733697
420	0.2091791447
421	0.2087658513
422	0.2084498713
423	0.2078641152
424	0.2073310886
425	0.2070357927
426	0.2069066289
427	0.2060148833
428	0.2051849882
429	0.2049405645
430	0.2045152971
431	0.2037008869
432	0.2031480495
433	0.2028575076
434	0.2024680346
435	0.2019701817
436	0.2015339889
437	0.2008337224
438	0.2004626177
439	0.1999160325
440	0.1995893745
441	0.1988202142
442	0.1983306935
443	0.1981063459
444	0.1973117839
445	0.1967432134
446	0.1964587064
447	0.1961294531
448	0.1957858701
449	0.1952706001
450	0.1948059872
451	0.1943380415
452	0.1939073157
453	0.1935119757
454	0.1930921993
455	0.1927074054
456	0.1920933044
457	0.1914751534
458	0.191000255
459	0.190543694
460	0.1899659011
461	0.1893674642
462	0.1888599069
463	0.1886819585
464	0.188267796
465	0.1878555887
466	0.1876719695
467	0.1872106959
468	0.1868031916
469	0.1863499248
470	0.1860710903
471	0.1857443666
472	0.1853590625
473	0.1852213938
474	0.1849944508
475	0.1844417012
476	0.1840436895
477	0.1833564406
478	0.1826491646
479	0.1823934698
480	0.1820600603
481	0.1817811421
482	0.1813106988
483	0.1807909953
484	0.180376704
485	0.1801855039
486	0.1795240667
487	0.1789875015
488	0.1788008775
489	0.1783359568
490	0.1778375544
491	0.1774899345
492	0.1769514912
493	0.1766485149
494	0.176406624
495	0.1761682475
496	0.1757982689
497	0.1755703671
498	0.1750403674
499	0.1745700915
500	0.1742539345
501	0.1737865976
502	0.1733151862
503	0.1730519317
504	0.1727343921
505	0.172559423
506	0.1722556941
507	0.1718602539
508	0.1716032122
509	0.1711858729
510	0.1708342779
511	0.1706062507
512	0.1702508281
513	0.1697986577
514	0.1696741699
515	0.1692439581
516	0.1689584794
517	0.1684745019
518	0.1680608502
519	0.1677267942
520	0.1669770323
521	0.1664310585
522	0.1662411296
523	0.1658983591
524	0.1655567775
525	0.1652848943
526	0.1647058053
527	0.1643157685
528	0.1639153592
529	0.163497242
530	0.1631774899
531	0.1628638271
532	0.1624332829
533	0.1620054263
534	0.1618057921
535	0.161547314
536	0.1611973955
537	0.1608078666
538	0.1605485694
539	0.160312115
540	0.1600588063
541	0.1597724745
542	0.1592756114
543	0.1589421622
544	0.1585052754
545	0.1582434358
546	0.1577542005
547	0.1573866054
548	0.1571734311
549	0.1569019454
550	0.1565622179
551	0.1562153115
552	0.1560023176
553	0.1556582322
554	0.1552669902
555	0.1548949566
556	0.1546349175
557	0.1543390128
558	0.1540449332
559	0.1537970024
560	0.1536833673
561	0.1533039175
562	0.1529783125
563	0.15251056
564	0.1520028816
565	0.1514704829
566	0.151263056
567	0.1509118165
568	0.1506312842
569	0.1503846509
570	0.1501453705
571	0.1498110153
572	0.1494388475
573	0.1492009704
574	0.1488775683
575	0.148659537
576	0.1483935309
577	0.1480442866
578	0.1478005505
579	0.1475805861
580	0.1472119605
581	0.1469801263
582	0.1467203221
583	0.1464098879
584	0.1463028306
585	0.1461145942
586	0.1458046525
587	0.1454727719
588	0.1453301492
589	0.1451581052
590	0.1449392535
591	0.1447208117
592	0.1443613549
593	0.1441535711
594	0.1439291515
595	0.1435726223
596	0.14335723
597	0.1432364837
598	0.142987567
599	0.142707423
600	0.1423461566
601	0.1420730099
602	0.1417154588
603	0.1415062565
604	0.141163278
605	0.1410457866
606	0.1408292022
607	0.14051364
608	0.140206512
609	0.139960132
610	0.1397098022
611	0.1395910313
612	0.1393102046
613	0.1391374716
614	0.1388811478
615	0.1383767222
616	0.1381557136
617	0.1378397112
618	0.1375679981
619	0.1372030707
620	0.1369498196
621	0.1366671889
622	0.1364562107
623	0.1361458146
624	0.1357474496
625	0.1355612654
626	0.1351688192
627	0.1350835997
628	0.1347981375
629	0.1344888376
630	0.1341331581
631	0.1338666434
632	0.1335944565
633	0.1334539181
634	0.1331360265
635	0.1328708559
636	0.1325239235
637	0.1321924936
638	0.131937552
639	0.1316517889
640	0.1313045912
641	0.1309787832
642	0.1307966449
643	0.1303895785
644	0.1301956036
645	0.1298796769
646	0.1296266463
647	0.1293637948
648	0.1289792553
649	0.1286531348
650	0.128439117
651	0.1282466326
652	0.1279359232
653	0.1276944835
654	0.1274950763
655	0.1271427225
656	0.1269388532
657	0.1268410494
658	0.1265202515
659	0.1262088356
660	0.126015023
661	0.1258018337
662	0.1255865255
663	0.1254873948
664	0.1251869844
665	0.1249802088
666	0.1248136649
667	0.124489931
668	0.1242590167
669	0.1238513476
670	0.1236578564
671	0.1235086206
672	0.1233714055
673	0.1231078078
674	0.1229465887
675	0.122862552
676	0.122775827
677	0.1224925884
678	0.1221898527
679	0.1219382779
680	0.1215691572
681	0.121314425
682	0.1210915233
683	0.1209143468
684	0.1206081543
685	0.1203088986
686	0.1200288062
687	0.1197824971
688	0.1194847835
689	0.1192250201
690	0.1190529518
691	0.1188640192
692	0.1187228288
693	0.1185375031
694	0.1183750091
695	0.1181014141
696	0.1179514952
697	0.1178889924
698	0.117652474
699	0.1173662238
700	0.1171100274
701	0.1168353665
702	0.1165687086
703	0.1163177997
704	0.1159626212
