iter	Passed	Remaining
0	100	100894
1	104	52033
2	107	35855
3	111	27674
4	113	22578
5	115	19184
6	117	16707
7	119	14875
8	122	13542
9	124	12368
10	126	11391
11	129	10669
12	131	9973
13	133	9377
14	136	8933
15	137	8470
16	139	8079
17	142	7766
18	144	7446
19	145	7146
20	148	6922
21	150	6687
22	151	6451
23	153	6249
24	156	6084
25	157	5915
26	159	5750
27	162	5626
28	164	5491
29	166	5369
30	168	5254
31	169	5130
32	171	5011
33	172	4905
34	174	4818
35	176	4735
36	178	4641
37	180	4572
38	182	4500
39	184	4425
40	186	4355
41	188	4295
42	190	4230
43	191	4160
44	193	4103
45	196	4071
46	198	4022
47	200	3977
48	202	3926
49	203	3875
50	205	3829
51	207	3790
52	209	3747
53	211	3704
54	213	3665
55	215	3631
56	217	3591
57	218	3555
58	221	3524
59	222	3488
60	224	3454
61	226	3423
62	228	3398
63	230	3370
64	232	3341
65	234	3316
66	236	3286
67	237	3257
68	239	3227
69	241	3203
70	242	3178
71	244	3153
72	246	3128
73	248	3106
74	249	3080
75	251	3057
76	253	3038
77	255	3017
78	256	2993
79	258	2971
80	260	2952
81	262	2934
82	263	2915
83	265	2894
84	267	2878
85	269	2859
86	270	2840
87	272	2824
88	274	2812
89	276	2796
90	278	2779
91	280	2765
92	282	2750
93	284	2740
94	286	2732
95	288	2720
96	290	2706
97	292	2692
98	294	2679
99	295	2663
100	297	2649
101	299	2636
102	301	2621
103	302	2609
104	304	2596
105	306	2585
106	308	2571
107	309	2558
108	311	2546
109	313	2538
110	315	2529
111	317	2516
112	319	2506
113	320	2493
114	322	2481
115	323	2468
116	325	2458
117	327	2448
118	329	2436
119	330	2426
120	332	2417
121	334	2407
122	336	2395
123	337	2384
124	339	2375
125	341	2369
126	343	2359
127	345	2351
128	346	2342
129	348	2332
130	350	2322
131	351	2314
132	353	2304
133	355	2295
134	356	2285
135	358	2278
136	361	2274
137	368	2302
138	373	2313
139	377	2316
140	381	2321
141	383	2319
142	388	2330
143	393	2339
144	396	2338
145	398	2332
146	400	2323
147	402	2316
148	407	2326
149	412	2334
150	414	2332
151	416	2325
152	418	2318
153	420	2309
154	422	2302
155	424	2296
156	425	2287
157	428	2282
158	430	2278
159	432	2271
160	434	2264
161	436	2259
162	438	2252
163	440	2245
164	442	2240
165	444	2235
166	447	2229
167	449	2224
168	451	2219
169	453	2212
170	455	2206
171	457	2200
172	458	2193
173	460	2186
174	462	2181
175	464	2175
176	466	2168
177	468	2163
178	470	2159
179	472	2153
180	482	2183
181	485	2180
182	487	2174
183	489	2170
184	491	2165
185	493	2158
186	495	2156
187	499	2156
188	501	2151
189	503	2146
190	505	2139
191	506	2132
192	508	2127
193	510	2121
194	512	2115
195	514	2108
196	515	2102
197	517	2096
198	519	2090
199	521	2084
200	523	2079
201	524	2073
202	526	2067
203	528	2061
204	529	2054
205	531	2048
206	532	2041
207	535	2037
208	536	2030
209	538	2025
210	539	2018
211	541	2013
212	543	2008
213	545	2002
214	546	1996
215	548	1991
216	550	1985
217	551	1979
218	553	1973
219	555	1970
220	557	1965
221	559	1959
222	561	1955
223	562	1949
224	564	1943
225	566	1938
226	568	1936
227	570	1932
228	572	1927
229	574	1922
230	576	1917
231	577	1912
232	579	1907
233	581	1902
234	582	1897
235	584	1892
236	586	1889
237	588	1885
238	590	1880
239	592	1874
240	594	1870
241	595	1866
242	597	1861
243	599	1856
244	601	1852
245	602	1847
246	604	1841
247	606	1837
248	608	1833
249	609	1828
250	611	1823
251	613	1819
252	614	1815
253	616	1810
254	618	1805
255	619	1801
256	621	1797
257	623	1792
258	624	1787
259	626	1783
260	628	1778
261	629	1774
262	631	1769
263	633	1765
264	635	1761
265	636	1757
266	638	1752
267	640	1748
268	641	1744
269	643	1739
270	645	1735
271	646	1731
272	648	1726
273	650	1723
274	652	1719
275	654	1716
276	655	1711
277	657	1707
278	659	1703
279	661	1700
280	662	1696
281	664	1692
282	666	1689
283	668	1685
284	670	1681
285	671	1677
286	673	1674
287	675	1669
288	676	1665
289	678	1661
290	680	1657
291	682	1653
292	684	1650
293	686	1647
294	687	1643
